,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-3.05760e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.05680e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.05600e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.05520e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.05440e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.05360e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.05280e-02,3.08e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.05200e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.05120e-02,4.80e-01,9.20e+00,2.00e-01,9.60e+00, 
-3.05040e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.04960e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.04880e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.04800e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.04720e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.04640e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.04560e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.04480e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.04400e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.04320e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.04240e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.04160e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.04080e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.04000e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.03920e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.03840e-02,-8.00e-02,9.20e+00,-2.00e-01,9.20e+00, 
-3.03760e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.03680e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.03600e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.03520e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
